[02:02:57] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[02:02:59] [ServerMain/INFO]: Loaded 7 recipes
[02:02:59] [ServerMain/INFO]: Loaded 1271 advancements
[02:03:00] [Server thread/INFO]: Starting minecraft server version 1.20.1
[02:03:00] [Server thread/INFO]: Loading properties
[02:03:00] [Server thread/INFO]: Default game type: SURVIVAL
[02:03:00] [Server thread/INFO]: Generating keypair
[02:03:00] [Server thread/INFO]: Starting Minecraft server on *:25565
[02:03:00] [Server thread/INFO]: Using epoll channel type
[02:03:00] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[02:03:00] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[02:03:00] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[02:03:00] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[02:03:00] [Server thread/INFO]: Preparing level "world"
[02:03:22] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[02:03:22] [Worker-Main-1/INFO]: Preparing spawn area: 23%
[02:03:23] [Worker-Main-3/INFO]: Preparing spawn area: 24%
[02:03:23] [Worker-Main-3/INFO]: Preparing spawn area: 26%
[02:03:24] [Worker-Main-1/INFO]: Preparing spawn area: 27%
[02:03:24] [Worker-Main-3/INFO]: Preparing spawn area: 29%
[02:03:25] [Worker-Main-1/INFO]: Preparing spawn area: 31%
[02:03:25] [Worker-Main-3/INFO]: Preparing spawn area: 32%
[02:03:26] [Worker-Main-1/INFO]: Preparing spawn area: 35%
[02:03:26] [Worker-Main-3/INFO]: Preparing spawn area: 37%
[02:03:27] [Worker-Main-1/INFO]: Preparing spawn area: 38%
[02:03:27] [Worker-Main-1/INFO]: Preparing spawn area: 40%
[02:03:28] [Worker-Main-1/INFO]: Preparing spawn area: 42%
[02:03:28] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[02:03:29] [Worker-Main-3/INFO]: Preparing spawn area: 45%
[02:03:29] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[02:03:30] [Worker-Main-3/INFO]: Preparing spawn area: 49%
[02:03:30] [Worker-Main-1/INFO]: Preparing spawn area: 51%
[02:03:31] [Worker-Main-2/INFO]: Preparing spawn area: 53%
[02:03:31] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[02:03:32] [Worker-Main-1/INFO]: Preparing spawn area: 56%
[02:03:32] [Worker-Main-3/INFO]: Preparing spawn area: 58%
[02:03:33] [Worker-Main-3/INFO]: Preparing spawn area: 61%
[02:03:33] [Worker-Main-3/INFO]: Preparing spawn area: 63%
[02:03:34] [Worker-Main-2/INFO]: Preparing spawn area: 65%
[02:03:34] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[02:03:35] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[02:03:35] [Worker-Main-2/INFO]: Preparing spawn area: 70%
[02:03:36] [Worker-Main-3/INFO]: Preparing spawn area: 73%
[02:03:36] [Worker-Main-3/INFO]: Preparing spawn area: 75%
[02:03:37] [Worker-Main-1/INFO]: Preparing spawn area: 78%
[02:03:37] [Worker-Main-2/INFO]: Preparing spawn area: 80%
[02:03:38] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[02:03:38] [Worker-Main-3/INFO]: Preparing spawn area: 84%
[02:03:39] [Worker-Main-3/INFO]: Preparing spawn area: 85%
[02:03:39] [Worker-Main-3/INFO]: Preparing spawn area: 86%
[02:03:40] [Worker-Main-1/INFO]: Preparing spawn area: 88%
[02:03:40] [Worker-Main-1/INFO]: Preparing spawn area: 90%
[02:03:41] [Worker-Main-3/INFO]: Preparing spawn area: 93%
[02:03:41] [Worker-Main-1/INFO]: Preparing spawn area: 96%
[02:03:42] [Worker-Main-1/INFO]: Preparing spawn area: 98%
[02:03:42] [Server thread/INFO]: Time elapsed: 33730 ms
[02:03:42] [Server thread/INFO]: Done (41.631s)! For help, type "help"
[02:04:38] [Server thread/INFO]: rianofc[/[0:0:0:0:0:0:0:1%0]:42488] logged in with entity id 550 at (-33.5, 74.0, -33.5)
[02:04:38] [Server thread/INFO]: rianofc joined the game
[02:10:52] [Server thread/INFO]: BatatinhaFeliz[/[0:0:0:0:0:0:0:1%0]:59868] logged in with entity id 1489 at (-40.5, 73.0, -25.5)
[02:10:52] [Server thread/INFO]: BatatinhaFeliz joined the game
